"id"	"tech_code"	"tech_name"	"tech_format"	"tech_price"	"tech_type"	"price_type"	"deptment_id"
"959"	"CSJPBG"	"彩色胶片报告"	"江北"	"45.36"	"检查"	"其他检查费"	
"960"	"TSRSJMZZHXRSZD"	"特殊染色及酶组织化X染色诊断"	"江北"	"1.93"	"检查"	"其他检查费"	
"961"	"(WJJCZY)NJZZHJJCYZD"	"(胃镜检查专用)内镜组织活检检查与诊断"	"江北"	"1.96"	"检查"	"其他检查费"	
"962"	"TJTC（4H）（N）"	"体检套餐（4号）（男）"	""	"7.54"	"检查"	"其他检查费"	
"963"	"TJTC（5H）（N）"	"体检套餐（5号）（男）"	""	"31.19"	"检查"	"其他检查费"	
"964"	"TJTC（6H）（N）"	"体检套餐（6号）（男）"	""	"0.95"	"检查"	"其他检查费"	
"965"	"JBQCZZHJJCYZDZJLKJS"	"局部切除组织活检检查与诊断增加蜡块加收"	"江北"	"38.75"	"检查"	"其他检查费"	
"966"	"GSZZHJJCYZD"	"骨髓组织活检检查与诊断"	"江北"	"60.42"	"检查"	"其他检查费"	
"967"	"SSBBJCYZD"	"手术标本检查与诊断"	"江北"	"9.56"	"检查"	"其他检查费"	
"968"	"SSBBJCYZDZJLKJS"	"手术标本检查与诊断增加蜡块加收"	"江北"	"17.64"	"检查"	"其他检查费"	
"969"	"YYJC（FJCYYJF）"	"眼压检查（非接触眼压计法）"	"江北"	"31.09"	"检查"	"其他检查费"	
"970"	"YYJC（DYYJF）"	"眼压检查（电眼压计法）"	"江北"	"11.68"	"检查"	"其他检查费"	
"971"	"SMDJJCYZD"	"扫描电镜检查与诊断"	"江北"	"5.21"	"检查"	"其他检查费"	
"972"	"GMTZJC"	"巩膜透照检查"	"江北"	"62.67"	"检查"	"其他检查费"	
"973"	"24XSXLBYXFX"	"24小时心率变异性分析"	"江北"	"58.27"	"检查"	"其他检查费"	
"974"	"WCXGNJC"	"无创心功能监测"	"江北"	"43.94"	"检查"	"其他检查费"	
"975"	"YXQGJJC"	"硬性气管镜检查"	"江北"	"0.89"	"检查"	"其他检查费"	
"976"	"YYHDHQCD"	"一氧化氮呼气测定"	""	"7.83"	"检查"	"其他检查费"	
"977"	"DNHDDSSGNJC"	"胆囊和胆道收缩功能检查"	"江北"	"5.23"	"检查"	"其他检查费"	
"978"	"CSDPLCSCGJC"	"彩色多普勒超声常规检查"	"江北"	"12.77"	"检查"	"其他检查费"	
"979"	"CSDPL(XB)CSCGJC"	"彩色多普勒(胸部)超声常规检查"	"江北"	"20.69"	"检查"	"其他检查费"	
"980"	"TTZHPD"	"疼痛综合评定"	""	"50.16"	"检查"	"其他检查费"	
"981"	"MS(Maddox)GSY"	"马氏(Maddox)杆试验"	"江北"	"6.58"	"检查"	"其他检查费"	
"982"	"QNYWDW"	"球内异物定位"	"江北"	"1.71"	"检查"	"其他检查费"	
"983"	"CSSY"	"磁石试验"	"江北"	"12.83"	"检查"	"其他检查费"	
"984"	"YHTZZJC"	"眼活体组织检查"	"江北"	"12.96"	"检查"	"其他检查费"	
"985"	"JMGPJC"	"角膜刮片检查"	"江北"	"14.05"	"检查"	"其他检查费"	
"986"	"JMNQCJC"	"结膜囊取材检查"	"江北"	"42.03"	"检查"	"其他检查费"	
"987"	"YYCT"	"言语测听"	"江北"	"8.94"	"检查"	"其他检查费"	
"988"	"SDKCT"	"声导抗测听"	"江北"	"32.83"	"检查"	"其他检查费"	
"989"	"GST"	"鼓室图"	"江北"	"25.76"	"检查"	"其他检查费"	
"990"	"ZGJFSSY"	"镫骨肌反射试验"	"江北"	"9.92"	"检查"	"其他检查费"	
"991"	"JPY（XTNBZHZ）FYEYHTFYCD"	"经皮氧（限糖尿病足患者）分压二氧化碳分压测定"	"江北"	"66.23"	"检查"	"其他检查费"	
"992"	"SDKCT（DPL）"	"声导抗测听（多频率）"	"江北"	"8.59"	"检查"	"其他检查费"	
"993"	"ZGHDDJC(GLSY)"	"镫骨活动度检测(盖来试验)"	"江北"	"8.9"	"检查"	"其他检查费"	
"994"	"ZGJFSSJSY"	"镫骨肌反射衰减试验"	"江北"	"18.11"	"检查"	"其他检查费"	
"995"	"MSJGNZGJC"	"面神经功能主观检测"	"江北"	"11.88"	"检查"	"其他检查费"	
"996"	"MSJGNDNJC"	"面神经功能电脑检测"	"江北"	"4"	"检查"	"其他检查费"	
"997"	"ZXGNCD"	"左心功能测定"	"江北"	"21.03"	"检查"	"其他检查费"	
"998"	"JSJSWZJJS(3DE)"	"计算机三维重建技术(3DE)"	"江北"	"80.27"	"检查"	"其他检查费"	
"999"	"SXDL(AQ)"	"声X定量(AQ)"	"江北"	"12.77"	"检查"	"其他检查费"	
"1000"	"CSSBDL(CK)"	"彩色室壁动力(CK)"	"江北"	"12.66"	"检查"	"其他检查费"	
"1001"	"ZZDPLXX(TDI)"	"组织多普勒显象(TDI)"	"江北"	"15.64"	"检查"	"其他检查费"	
"1002"	"XNMZDBYJC"	"心内膜自动边缘检测"	"江北"	"30.71"	"检查"	"其他检查费"	
"1003"	"SBYDFX"	"室壁运动分析"	"江北"	"4.45"	"检查"	"其他检查费"	
"1004"	"XJGZCSJC"	"心肌灌注超声检测"	"江北"	"17.4"	"检查"	"其他检查费"	
"1005"	"HBYCCX(BL)ZP"	"黑白一次成象(波拉)照片"	"江北"	"17.15"	"检查"	"其他检查费"	
"1006"	"CSYCCX(BL)ZP"	"彩色一次成象(波拉)照片"	"江北"	"9.44"	"检查"	"其他检查费"	
"1007"	"CGXDTJC（SETD）"	"常规心电图检查（十二通道）"	"江北"	"71.5"	"检查"	"其他检查费"	
"1008"	"CGXDTJCFJDLJS"	"常规心电图检查附加导联加收"	"江北"	"62.01"	"检查"	"其他检查费"	
"1009"	"SGNXDT"	"食管内心电图"	"江北"	"35.9"	"检查"	"其他检查费"	
"1010"	"DTXDT"	"动态心电图"	"江北"	"48.92"	"检查"	"其他检查费"	
"1011"	"PPXDT"	"频谱心电图"	"江北"	"16.61"	"检查"	"其他检查费"	
"1012"	"BCXDT"	"标测心电图"	"江北"	"7.2"	"检查"	"其他检查费"	
"1013"	"ZDHJJC"	"直达喉镜检查"	"江北"	"16.99"	"检查"	"其他检查费"	
"1014"	"QLHHJJC"	"前联合喉镜检查"	"江北"	"62.98"	"检查"	"其他检查费"	
"1015"	"YXENJJC"	"硬性耳内镜检查"	"江北"	"10.73"	"检查"	"其他检查费"	
"1016"	"DEJJC"	"电耳镜检查"	"江北"	"55.14"	"检查"	"其他检查费"	
"1017"	"HST"	"喉声图"	"江北"	"85.07"	"检查"	"其他检查费"	
"1018"	"HPPYJC"	"喉频谱仪检查"	"江北"	"3"	"检查"	"其他检查费"	
"1019"	"HDTCS"	"喉电图测试"	"江北"	"35.44"	"检查"	"其他检查费"	
"1020"	"JSJSYJBPG"	"计算机嗓音疾病评估"	"江北"	"2.56"	"检查"	"其他检查费"	
"1021"	"XWBYJJC"	"纤维鼻咽镜检查"	"江北"	"25.46"	"检查"	"其他检查费"	
"1022"	"JJBYJJC"	"间接鼻咽镜检查"	"江北"	"23.96"	"检查"	"其他检查费"	
"1023"	"YGJC"	"荧光检查"	"江北"	"4.24"	"检查"	"其他检查费"	
"1024"	"HYJC"	"会阴检查"	"江北"	"14.4"	"检查"	"其他检查费"	
"1025"	"GJJC"	"宫颈检查"	"江北"	"24.38"	"检查"	"其他检查费"	
"1026"	"WYHJS"	"外阴活检术"	"江北"	"23.32"	"检查"	"其他检查费"	
"1027"	"XZYDJC"	"下颌运动检查"	"江北"	"14.26"	"检查"	"其他检查费"	
"1028"	"HZTYDGJMJ"	"H状突运动轨迹描记"	"江北"	"43.51"	"检查"	"其他检查费"	
"1029"	"SZJSBJC"	"首诊精神病检查"	"江北"	"90.49"	"检查"	"其他检查费"	
"1030"	"CSDPL(NXSZXT)CSCGJC"	"彩色多普勒(男性生殖系统)超声常规检查"	"江北"	"71.75"	"检查"	"其他检查费"	
"1031"	"YNBLHZJS"	"疑难病理会诊加收"	"江北"	"53.98"	"检查"	"其他检查费"	
"1032"	"YCJKJC"	"远程健康检测"	"江北"	"12.51"	"检查"	"其他检查费"	
"1033"	"NJZZHJJCYZDZJLKJS"	"内镜组织活检检查与诊断增加蜡块加收"	"江北"	"23.13"	"检查"	"其他检查费"	
"1034"	"NJZZHJJCYZDZJBBJS"	"内镜组织活检检查与诊断增加标本加收"	"江北"	"13.88"	"检查"	"其他检查费"	
"1035"	"NJZZHJJCYZDTGJS"	"内镜组织活检检查与诊断脱钙加收"	"江北"	"33"	"检查"	"其他检查费"	
"1036"	"JBQCZZHJJCYZD"	"局部切除组织活检检查与诊断"	"江北"	"7.11"	"检查"	"其他检查费"	
"1037"	"JBQCZZHJJCYZD(QCZZ)"	"局部切除组织活检检查与诊断(切除组织)"	"江北"	"14.28"	"检查"	"其他检查费"	
"1038"	"JBQCZZHJJCYZD(YQZZ)"	"局部切除组织活检检查与诊断(咬取组织)"	"江北"	"18.59"	"检查"	"其他检查费"	
"1039"	"JBQCZZHJJCYZD(QCZKBFZZ)"	"局部切除组织活检检查与诊断(切除肿块部分组织)"	"江北"	"5.93"	"检查"	"其他检查费"	
"1040"	"SQNDZXCJ"	"双气囊电子小肠镜"	"江北"	"2.66"	"检查"	"其他检查费"	
"1041"	"BYYPNSY（XRZ）"	"变应原皮内试验（吸入组）"	"江北"	"36.52"	"检查"	"其他检查费"	
"1042"	"YDJC（JJYDJF）"	"眼底检查（间接眼底镜法）"	"江北"	"48.53"	"检查"	"其他检查费"	
"1043"	"SMJGYDJC(SLO)"	"扫描激光眼底检查(SLO)"	"江北"	"0.97"	"检查"	"其他检查费"	
"1044"	"SWMLKDWJC"	"视网膜裂孔定位检查"	"江北"	"60.34"	"检查"	"其他检查费"	
"1045"	"ZJJYJGC+CSSWMLKDWJC"	"直接检眼镜观察+测算视网膜裂孔定位检查"	"江北"	"60.16"	"检查"	"其他检查费"	
"1046"	"SMJJJYJGC+GMJYFSWMLKDWJC"	"双目间接检眼镜观察+巩膜加压法视网膜裂孔定位检查"	"江北"	"1.59"	"检查"	"其他检查费"	
"1047"	"HDBSWMHDJC（HRT）"	"海德堡视网膜厚度检查（HRT）"	"江北"	"69.55"	"检查"	"其他检查费"	
"1048"	"YXLT"	"眼X流图"	"江北"	"9.11"	"检查"	"其他检查费"	
"1049"	"SWMDMYCD"	"视网膜动脉压测定"	"江北"	"1.01"	"检查"	"其他检查费"	
"1050"	"LJRHPLJC"	"临界融合频率检查"	"江北"	"26.52"	"检查"	"其他检查费"	
"1051"	"GXXGDCCX(OCT)"	"光X相干断层成相(OCT)"	"江北"	"11.3"	"检查"	"其他检查费"	
"1052"	"SWMDLT(ERG)"	"视网膜电流图(ERG)"	"江北"	"25.56"	"检查"	"其他检查费"	
"1053"	"SWMDXT"	"视网膜地形图"	"江北"	"5.42"	"检查"	"其他检查费"	
"1054"	"XSEXWCD"	"新生儿行为测定"	"江北"	"42.39"	"检查"	"其他检查费"	
"1055"	"XWZQGJJC"	"纤维支气管镜检查"	"江北"	"7.85"	"检查"	"其他检查费"	
"1056"	"XWZQGJZXHJ"	"纤维支气管镜针吸活检"	"江北"	"3.54"	"检查"	"其他检查费"	
"1057"	"XWZQGJSPJC"	"纤维支气管镜刷片检查"	"江北"	"43.52"	"检查"	"其他检查费"	
"1058"	"JXZJZL"	"经纤支镜治疗"	"江北"	"13.06"	"检查"	"其他检查费"	
"1059"	"JXZJQYW"	"经纤支镜取异物"	"江北"	"2.33"	"检查"	"其他检查费"	
"1060"	"JXZJDY"	"经纤支镜滴药"	"江北"	"33.13"	"检查"	"其他检查费"	
"1061"	"JXZJZX"	"经纤支镜止X"	"江北"	"1.52"	"检查"	"其他检查费"	
"1062"	"JXZJHL"	"经纤支镜化疗"	"江北"	"70.57"	"检查"	"其他检查费"	
"1063"	"JXZJZMHJS"	"经纤支镜粘膜活检术"	"江北"	"73.17"	"检查"	"其他检查费"	
"1064"	"JXZJTZQGBFHJS"	"经纤支镜透支气管壁肺活检术"	"江北"	"13.81"	"检查"	"其他检查费"	
"1065"	"JXZJFWRCYSJC"	"经纤支镜防污染采样刷检查"	"江北"	"0.96"	"检查"	"其他检查费"	
"1066"	"FHCSXDT"	"负荷超声心动图"	"江北"	"26.82"	"检查"	"其他检查费"	
"1067"	"JMNPJJC"	"角膜内皮镜检查"	"江北"	"41.3"	"检查"	"其他检查费"	
"1068"	"JMHDJC"	"角膜厚度检查"	"江北"	"83.67"	"检查"	"其他检查费"	
"1069"	"JMHDJC（LXDF）"	"角膜厚度检查（裂隙灯法）"	"江北"	"13.17"	"检查"	"其他检查费"	
"1070"	"JMHDJC（CSF）"	"角膜厚度检查（超声法）"	"江北"	"12.46"	"检查"	"其他检查费"	
"1071"	"JMZJJC"	"角膜知觉检查"	"江北"	"30.11"	"检查"	"其他检查费"	
"1072"	"QZDMYZZHXRSKSZD"	"全自动免疫组织化X染色快速诊断"	"江北"	"7.2"	"检查"	"其他检查费"	
"1073"	"JZCBCJC"	"经直肠B超检查"	"江北"	"14.16"	"检查"	"其他检查费"	
"1074"	"QBQG(SXXJJBLBJ)CSDPLCSJC"	"浅表器官(双涎腺及颈部淋巴结)彩色多普勒超声检查"	"江北"	"14.2"	"检查"	"其他检查费"	
"1075"	"QBQG(JZXJJBLBJ)CSDPLCSJC"	"浅表器官(甲状腺及颈部淋巴结)彩色多普勒超声检查"	"江北"	"1"	"检查"	"其他检查费"	
"1076"	"QBQG(RXJQYLQLBJ)CSDPLCSJC"	"浅表器官(乳腺及其引流区淋巴结)彩色多普勒超声检查"	"江北"	"1.69"	"检查"	"其他检查费"	
"1077"	"QBQG(SZHXZRZZ)CSDPLCSJC"	"浅表器官(上肢或下肢软组织)彩色多普勒超声检查"	"江北"	"3"	"检查"	"其他检查费"	
"1078"	"QBQG(YN、SCZW、FZ)CSDPLCSJC"	"浅表器官(阴囊、双侧睾丸、附睾)彩色多普勒超声检查"	"江北"	"54.14"	"检查"	"其他检查费"	
"1079"	"QBQG(LQ)CSDPLCSJC"	"浅表器官(颅腔)彩色多普勒超声检查"	"江北"	"3.66"	"检查"	"其他检查费"	
"1080"	"QBQG(TBBK)CSDPLCSJC"	"浅表器官(体表包块)彩色多普勒超声检查"	"江北"	"9.29"	"检查"	"其他检查费"	
"1081"	"QBQG(GJ)CSDPLCSJC"	"浅表器官(关节)彩色多普勒超声检查"	"江北"	"17.58"	"检查"	"其他检查费"	
"1082"	"LNDXGCSDPLCS"	"颅内段X管彩色多普勒超声"	"江北"	"57.58"	"检查"	"其他检查费"	
"1083"	"QHQBXGCSDPLCS"	"球后全部X管彩色多普勒超声"	"江北"	"17.23"	"检查"	"其他检查费"	
"1084"	"JBXGCSDPLCS"	"颈部X管彩色多普勒超声"	"江北"	"13.65"	"检查"	"其他检查费"	
"1085"	"JBXGCSDPLCS(JDM)"	"颈部X管彩色多普勒超声(颈动脉)"	"江北"	"0.85"	"检查"	"其他检查费"	
"1086"	"JBXGCSDPLCS(JJM)"	"颈部X管彩色多普勒超声(颈静脉)"	"江北"	"33.8"	"检查"	"其他检查费"	
"1087"	"JBXGCSDPLCS(ZDM)"	"颈部X管彩色多普勒超声(椎动脉)"	"江北"	"0.87"	"检查"	"其他检查费"	
"1088"	"WCCYZYBCJC"	"胃肠充盈造影B超检查"	"江北"	"61.34"	"检查"	"其他检查费"	
"1089"	"DCGCZYBCJC"	"大肠灌肠造影B超检查"	"江北"	"1.97"	"检查"	"其他检查费"	
"1090"	"SLGCSZY"	"输卵管超声造影"	"江北"	"14.03"	"检查"	"其他检查费"	
"1091"	"CPBCJC"	"床旁B超检查"	"江北"	"26.7"	"检查"	"其他检查费"	
"1092"	"CPBCJC(SZBCJC)"	"床旁B超检查(术中B超检查)"	"江北"	"12.56"	"检查"	"其他检查费"	
"1093"	"LCCZDBCYD"	"临床操作的B超引导"	"江北"	"8.21"	"检查"	"其他检查费"	
"1094"	"JYDBCJC"	"经阴道B超检查"	"江北"	"3.66"	"检查"	"其他检查费"	
"1095"	"CSWJJCS"	"超声胃镜检查术"	"江北"	"20.06"	"检查"	"其他检查费"	
"1096"	"XCJJC"	"小肠镜检查"	"江北"	"30.37"	"检查"	"其他检查费"	
"1097"	"XBXJS"	"细胞X计数"	"江北"	"5.42"	"检查"	"其他检查费"	
"1098"	"YXHYXJSZZPD(PANSS）LB"	"阳性和阴性精神症状评定(PANSS）量表"	"江北"	"46.49"	"检查"	"其他检查费"	
"1099"	"MXJSBBZHPDLB"	"慢性精神病标准化评定量表"	"江北"	"11.24"	"检查"	"其他检查费"	
"1100"	"JZXSHSJPDLB"	"紧张性生活事件评定量表"	"江北"	"24.31"	"检查"	"其他检查费"	
"1101"	"EXWNJJC（WBSRTSH）"	"耳纤维内镜检查（完壁式乳突术后）"	"江北"	"10.25"	"检查"	"其他检查费"	
"1102"	"XBXJS(ZQGGXY)"	"细胞X计数(支气管灌洗液)"	"江北"	"4.49"	"检查"	"其他检查费"	
"1103"	"CCZZHJJCYZD"	"穿刺组织活检检查与诊断"	"江北"	"15.54"	"检查"	"其他检查费"	
"1104"	"CCZZHJJCYZD(RX)"	"穿刺组织活检检查与诊断(乳腺)"	"江北"	"18.91"	"检查"	"其他检查费"	
"1105"	"TSNDT"	"特殊脑电图"	"江北"	"19.62"	"检查"	"其他检查费"	
"1106"	"TSNDTTSDJ(BY)"	"特殊脑电图特殊电极(鼻咽)"	"江北"	"31.44"	"检查"	"其他检查费"	
"1107"	"TSNDTTSDJ(DG)"	"特殊脑电图特殊电极(蝶骨)"	"江北"	"0.04"	"检查"	"其他检查费"	
"1108"	"TSNDTTSDJ(PC)"	"特殊脑电图特殊电极(皮层)"	"江北"	"26.27"	"检查"	"其他检查费"	
"1109"	"ZLCLJC"	"颌力测量检查"	"江北"	"2.32"	"检查"	"其他检查费"	
"1110"	"JJGNJC"	"咀嚼功能检查"	"江北"	"17.86"	"检查"	"其他检查费"	
"1111"	"GMDCD"	"骨密度测定"	"江北"	"57.95"	"检查"	"其他检查费"	
"1112"	"GMDCD（SNXX）"	"骨密度测定（双能X线）"	"江北"	"35.4"	"检查"	"其他检查费"	
"1113"	"DZGPNCL"	"电子骨盆内测量"	"江北"	"29.21"	"检查"	"其他检查费"	
"1114"	"TEXDT"	"胎儿心电图"	"江北"	"53.39"	"检查"	"其他检查费"	
"1115"	"TEJJC"	"胎儿镜检查"	"江北"	"12.8"	"检查"	"其他检查费"	
"1116"	"MSJJDTJC"	"面神经肌电图检查"	"江北"	"15.2"	"检查"	"其他检查费"	
"1117"	"E、Y、SCJXCSGGNQMSJJDTJC"	"额、眼、上唇及下唇四个功能区面神经肌电图检查"	"江北"	"0.86"	"检查"	"其他检查费"	
"1118"	"ZYBHGNJC"	"腭咽闭合功能检查"	"江北"	"13.64"	"检查"	"其他检查费"	
"1119"	"CJXZZWJC"	"错畸形正中位检查"	"江北"	"16.58"	"检查"	"其他检查费"	
"1120"	"GYJC"	"光仪检查"	"江北"	"6.08"	"检查"	"其他检查费"	
"1121"	"GY LCL"	"光仪 力测量"	"江北"	"25.71"	"检查"	"其他检查费"	
"1122"	"YL JCZTJC"	"牙列 接触状态检查"	"江北"	"9.72"	"检查"	"其他检查费"	
"1123"	"YHYJC"	"咬合仪检查"	"江北"	"69.21"	"检查"	"其他检查费"	
"1124"	"WDSDJC"	"伍德氏灯检查"	"江北"	"33.68"	"检查"	"其他检查费"	
"1125"	"BTSY"	"斑贴试验"	"江北"	"16.79"	"检查"	"其他检查费"	
"1126"	"GMSY"	"光敏试验"	"江北"	"76.08"	"检查"	"其他检查费"	
"1127"	"CSBSY"	"醋酸白试验"	"江北"	"20.68"	"检查"	"其他检查费"	
"1128"	"QNCSDPLCSJC"	"腔内彩色多普勒超声检查"	"江北"	"18.98"	"检查"	"其他检查费"	
"1129"	"QN(JYD)CSDPLCSJC"	"腔内(经阴道)彩色多普勒超声检查"	"江北"	"57.33"	"检查"	"其他检查费"	
"1130"	"TGYFDWJC（SZ）"	"体感诱发电位检查（上肢）"	"江北"	"23.53"	"检查"	"其他检查费"	
"1131"	"TGYFDWJC（XZ）"	"体感诱发电位检查（下肢）"	"江北"	"46.49"	"检查"	"其他检查费"	
"1132"	"YDYFDW"	"运动诱发电位"	"江北"	"45.82"	"检查"	"其他检查费"	
"1133"	"NGTJYFDW"	"脑干听觉诱发电位"	"江北"	"1.85"	"检查"	"其他检查费"	
"1134"	"JDT"	"肌电图"	"江北"	"86.1"	"检查"	"其他检查费"	
"1135"	"YJDT"	"眼肌电图"	"江北"	"22.97"	"检查"	"其他检查费"	
"1136"	"DXWJDT"	"单纤维肌电图"	"江北"	"19.73"	"检查"	"其他检查费"	
"1137"	"JDTJC"	"肌电图监测"	"江北"	"3.57"	"检查"	"其他检查费"	
"1138"	"DGJDCJDT"	"多轨迹断层肌电图"	"江北"	"9.69"	"检查"	"其他检查费"	
"1139"	"TJF"	"体检费"	"江北"	"48.64"	"检查"	"其他检查费"	
"1140"	"CMGSXCD"	"催眠感受性测定"	"江北"	"23.4"	"检查"	"其他检查费"	
"1141"	"SWX、YSXCD"	"思维型、艺术型测定"	"江北"	"23.98"	"检查"	"其他检查费"	
"1142"	"HRZLCD"	"绘人智力测定"	"江北"	"24.8"	"检查"	"其他检查费"	
"1143"	"BNZLCD（10SYX）"	"比奈智力测定（10岁以下）"	"江北"	"3.33"	"检查"	"其他检查费"	
"1144"	"DFXEZNFYSCB"	"丹佛小儿智能发育筛查表"	"江北"	"9.09"	"检查"	"其他检查费"	
"1145"	"YGRSTYWZJJC(FISH)"	"荧光染色体原位杂交检查(FISH)"	"江北"	"25.25"	"检查"	"其他检查费"	
"1146"	"KTE16XRGCY"	"卡特尔16项人格测验"	"江北"	"40.67"	"检查"	"其他检查费"	
"1147"	"ETFYLB（PEP）"	"儿童发育量表（PEP）"	"江北"	"27.11"	"检查"	"其他检查费"	
"1148"	"RCSHNLPDLB"	"日常生活能力评定量表"	"江北"	"73.56"	"检查"	"其他检查费"	
"1149"	"ZRNLCDGTLB"	"再认能力测定感统量表"	"江北"	"19.44"	"检查"	"其他检查费"	
"1150"	"JCKJWZJYGDCD"	"检查空间位置记忆广度测定"	"江北"	"0.51"	"检查"	"其他检查费"	
"1151"	"QBQGNFXHSF"	"起搏器功能分析和随访"	"江北"	"1.55"	"检查"	"其他检查费"	
"1152"	"QBQCKGNJC"	"起搏器程控功能检查"	"江北"	"31.77"	"检查"	"其他检查费"	
"1153"	"QBQXBCJFJC"	"起搏器胸壁刺激法检查"	"江北"	"13.35"	"检查"	"其他检查费"	
"1154"	"HHLBXBPY"	"混合淋巴细胞培养"	"江北"	"1.25"	"检查"	"其他检查费"	
"1155"	"TSSLJC"	"特殊视力检查"	"江北"	"73.85"	"检查"	"其他检查费"	
"1156"	"ETTXSLB"	"儿童图形视力表"	"江北"	"23.19"	"检查"	"其他检查费"	
"1157"	"DSLB"	"点视力表"	"江北"	"18.25"	"检查"	"其他检查费"	
"1158"	"TZSLK"	"条栅视力卡"	"江北"	"5.67"	"检查"	"其他检查费"	
"1159"	"HER-2YGRSTYWZJJC(FISH)"	"HER-2荧光染色体原位杂交检查(FISH)"	"江北"	"22.86"	"检查"	"其他检查费"	
"1160"	"ZGJXBYGRSTYWZJJC(FISH)"	"子宫颈细胞荧光染色体原位杂交检查(FISH)"	"江北"	"14.37"	"检查"	"其他检查费"	
"1161"	"EGFRYGRSTYWZJJC(FISH)"	"EGFR荧光染色体原位杂交检查(FISH)"	"江北"	"33.59"	"检查"	"其他检查费"	
"1162"	"BZAYGRSTYWZJJC(FISH)"	"膀胱癌荧光染色体原位杂交检查(FISH)"	"江北"	"1.4"	"检查"	"其他检查费"	
"1163"	"QFSDCL"	"前房深度测量"	"江北"	"22.4"	"检查"	"其他检查费"	
"1164"	"LXDFQFSDCL"	"裂隙灯法前房深度测量"	"江北"	"45.34"	"检查"	"其他检查费"	
"1165"	"QFSDCLYF"	"前房深度测量仪法"	"江北"	"15.75"	"检查"	"其他检查费"	
"1166"	"ZQSXZY(ZLSXZY)"	"脏器声X造影(肿瘤声X造影)"	"江北"	"49.91"	"检查"	"其他检查费"	
"1167"	"XWJCJJC"	"纤维结肠镜检查"	"江北"	"75.27"	"检查"	"其他检查费"	
"1168"	"YZJCJJC"	"乙状结肠镜检查"	"江北"	"8.28"	"检查"	"其他检查费"	
"1169"	"ETNWKLB"	"儿童内外控量表"	"江北"	"0.43"	"检查"	"其他检查费"	
"1170"	"ETGDXWJCLB"	"儿童孤独行为检查量表"	"江北"	"28.66"	"检查"	"其他检查费"	
"1171"	"KNS(Conners)"	"康奈氏(Conners)"	"江北"	"38.86"	"检查"	"其他检查费"	
"1172"	"FSYGCD"	"房水荧光测定"	"江北"	"8.55"	"检查"	"其他检查费"	
"1173"	"LXDJC"	"裂隙灯检查"	"江北"	"0.62"	"检查"	"其他检查费"	
"1174"	"LXDXYDJC"	"裂隙灯下眼底检查"	"江北"	"2.92"	"检查"	"其他检查费"	
"1175"	"YDJC（QZJ）"	"眼底检查（前置镜）"	"江北"	"18.5"	"检查"	"其他检查费"	
"1176"	"YDJC（SMJ）"	"眼底检查（三面镜）"	"江北"	"39.7"	"检查"	"其他检查费"	
"1177"	"24XSWCYLCD（SHXXHDYLJC）"	"24小时胃肠压力测定（上或下消化道压力监测）"	"江北"	"79.22"	"检查"	"其他检查费"	
"1178"	"24XSWCYLCD（S、XXHDHZ）"	"24小时胃肠压力测定（上、下消化道合做）"	"江北"	"6.89"	"检查"	"其他检查费"	
"1179"	"XWWSEZCJJC"	"纤维胃十二指肠镜检查"	"江北"	"1.58"	"检查"	"其他检查费"	
"1180"	"SSJYGDCD"	"瞬时记忆广度测定"	"江北"	"6.18"	"检查"	"其他检查费"	
"1181"	"DSJYGDCD"	"短时记忆广度测定"	"江北"	"10.49"	"检查"	"其他检查费"	
"1182"	"ZYFPCD"	"注意分配测定"	"江北"	"7.83"	"检查"	"其他检查费"	
"1183"	"ZYGDCD"	"注意广度测定"	"江北"	"73.29"	"检查"	"其他检查费"	
"1184"	"ACBQ（Achenbach)ETXWLB"	"阿成贝切（Achenbach)儿童行为量表"	"江北"	"52.27"	"检查"	"其他检查费"	
"1185"	"DTNDT"	"动态脑电图"	"江北"	"7.37"	"检查"	"其他检查费"	
"1186"	"BYYPNSY（SWZ）"	"变应原皮内试验（食物组）"	"江北"	"3.04"	"检查"	"其他检查费"	
"1187"	"BYYPNSY（SGZ）"	"变应原皮内试验（水果组）"	"江北"	"61.33"	"检查"	"其他检查费"	
"1188"	"BYYPNSY（XJZ）"	"变应原皮内试验（细菌组）"	"江北"	"62.94"	"检查"	"其他检查费"	
"1189"	"XBJC"	"性病检查"	"江北"	"71.37"	"检查"	"其他检查费"	
"1190"	"PFHJS"	"皮肤活检术"	"江北"	"15.71"	"检查"	"其他检查费"	
"1191"	"PFZJMYYGJC"	"皮肤直接免疫荧光检查"	"江北"	"13.56"	"检查"	"其他检查费"	
"1192"	"PFSLZBXTFX"	"皮肤生理指标系统分析"	"江北"	"6.06"	"检查"	"其他检查费"	
"1193"	"PSQCJC"	"皮损取材检查"	"江北"	"46.57"	"检查"	"其他检查费"	
"1194"	"PSQCJC（YS）"	"皮损取材检查（阴虱）"	"江北"	"13.31"	"检查"	"其他检查费"	
"1195"	"PSQCJC（JC）"	"皮损取材检查（疥虫）"	"江北"	"53.02"	"检查"	"其他检查费"	
"1196"	"PSQCJC（LDT）"	"皮损取材检查（利杜体）"	"江北"	"4.91"	"检查"	"其他检查费"	
"1197"	"TZCXBJC"	"天疱疮细胞检查"	"江北"	"0.47"	"检查"	"其他检查费"	
"1198"	"XDSJJL"	"心电事件记录"	"江北"	"15.24"	"检查"	"其他检查费"	
